signal_thresh,max_pos,top_k,conf_weight,total_return,sharpe,max_dd,win_rate,avg_pos,avg_alpha,median_alpha,worst_alpha,years_beat_spy,alpha_2011,alpha_2012,alpha_2013,alpha_2014,alpha_2015,alpha_2016,alpha_2017,alpha_2018,alpha_2019,alpha_2020,alpha_2021,alpha_2022,alpha_2023,alpha_2024,alpha_2025
0.54,10,5,False,15.290747161502505,0.8902609869637066,-0.37381648510489485,0.5265729658504447,4.83001856271546,0.04907174884951055,0.018188285515927327,-0.15700971122412083,8,0.100047524200377,-0.048953244484064656,0.36384423529895044,0.14346593923566778,-0.11006762644578792,0.14554990583474503,0.13961465852014518,0.05393433539811449,-0.08183348848894428,0.2971151572466168,-0.08278310104695624,-0.15700971122412083,0.018188285515927327,-0.005033312600210227,-0.04000332421780178
0.54,10,5,True,16.593172163398535,0.902078784963742,-0.361941887972717,0.5265729658504447,4.83001856271546,0.06154882324588599,0.04487403821659941,-0.15893571188950156,8,0.07196314109730863,-0.01824203859117865,0.413953492089634,0.13070537410220276,-0.11213275765594054,0.14580552120445345,0.14419115716073436,0.06932232848022618,-0.06007733071650595,0.3890871247339877,-0.06428592439882325,-0.15893571188950156,0.04487403821659941,-0.040927123292793244,-0.03206894185211345
0.54,15,5,False,15.290747161502505,0.8902609869637066,-0.37381648510489485,0.5265729658504447,4.83001856271546,0.04907174884951055,0.018188285515927327,-0.15700971122412083,8,0.100047524200377,-0.048953244484064656,0.36384423529895044,0.14346593923566778,-0.11006762644578792,0.14554990583474503,0.13961465852014518,0.05393433539811449,-0.08183348848894428,0.2971151572466168,-0.08278310104695624,-0.15700971122412083,0.018188285515927327,-0.005033312600210227,-0.04000332421780178
0.54,15,5,True,16.593172163398535,0.902078784963742,-0.361941887972717,0.5265729658504447,4.83001856271546,0.06154882324588599,0.04487403821659941,-0.15893571188950156,8,0.07196314109730863,-0.01824203859117865,0.413953492089634,0.13070537410220276,-0.11213275765594054,0.14580552120445345,0.14419115716073436,0.06932232848022618,-0.06007733071650595,0.3890871247339877,-0.06428592439882325,-0.15893571188950156,0.04487403821659941,-0.040927123292793244,-0.03206894185211345
0.58,5,all,True,15.449589608735575,0.7449202881487129,-0.5172412209878006,0.5308385933273219,2.940864492177141,0.03425899968805335,0.01723436238197812,-0.37779903215931765,8,-0.37779903215931765,0.39685290491657554,0.3139090913053533,-0.13624162597841746,-0.049422347605526315,0.30715656055032337,0.1545388159283214,0.1313670929068031,-0.007915366639387245,0.07582397373634059,-0.08338155154423826,-0.10007107356860306,0.025787905909498865,-0.15395471481890421,0.01723436238197812
0.58,5,5,True,15.449589608735575,0.7449202881487129,-0.5172412209878006,0.5308385933273219,2.940864492177141,0.03425899968805335,0.01723436238197812,-0.37779903215931765,8,-0.37779903215931765,0.39685290491657554,0.3139090913053533,-0.13624162597841746,-0.049422347605526315,0.30715656055032337,0.1545388159283214,0.1313670929068031,-0.007915366639387245,0.07582397373634059,-0.08338155154423826,-0.10007107356860306,0.025787905909498865,-0.15395471481890421,0.01723436238197812
0.54,20,5,False,15.290747161502505,0.8902609869637066,-0.37381648510489485,0.5265729658504447,4.83001856271546,0.04907174884951055,0.018188285515927327,-0.15700971122412083,8,0.100047524200377,-0.048953244484064656,0.36384423529895044,0.14346593923566778,-0.11006762644578792,0.14554990583474503,0.13961465852014518,0.05393433539811449,-0.08183348848894428,0.2971151572466168,-0.08278310104695624,-0.15700971122412083,0.018188285515927327,-0.005033312600210227,-0.04000332421780178
0.54,20,5,True,16.593172163398535,0.902078784963742,-0.361941887972717,0.5265729658504447,4.83001856271546,0.06154882324588599,0.04487403821659941,-0.15893571188950156,8,0.07196314109730863,-0.01824203859117865,0.413953492089634,0.13070537410220276,-0.11213275765594054,0.14580552120445345,0.14419115716073436,0.06932232848022618,-0.06007733071650595,0.3890871247339877,-0.06428592439882325,-0.15893571188950156,0.04487403821659941,-0.040927123292793244,-0.03206894185211345
0.58,10,5,True,15.449589608735575,0.7449202881487129,-0.5172412209878006,0.5308385933273219,2.940864492177141,0.03425899968805335,0.01723436238197812,-0.37779903215931765,8,-0.37779903215931765,0.39685290491657554,0.3139090913053533,-0.13624162597841746,-0.049422347605526315,0.30715656055032337,0.1545388159283214,0.1313670929068031,-0.007915366639387245,0.07582397373634059,-0.08338155154423826,-0.10007107356860306,0.025787905909498865,-0.15395471481890421,0.01723436238197812
0.52,30,all,True,9.738856792510202,0.9524501747233146,-0.3572077311644787,0.5281835708465009,26.68416865552904,0.034849275178766216,0.015299482209369664,-0.10387797854504177,11,0.05037931768214,0.013804540779078472,0.05697319476210755,0.10188697807468441,-0.05729833250471371,0.038605787598066654,0.07246986005309239,0.018973031016054916,0.015299482209369664,0.37116977767427856,-0.05168395015495936,-0.005045992768758556,-0.10387797854504177,0.0005433711782178996,0.0005400406278761039
0.58,15,5,True,15.449589608735575,0.7449202881487129,-0.5172412209878006,0.5308385933273219,2.940864492177141,0.03425899968805335,0.01723436238197812,-0.37779903215931765,8,-0.37779903215931765,0.39685290491657554,0.3139090913053533,-0.13624162597841746,-0.049422347605526315,0.30715656055032337,0.1545388159283214,0.1313670929068031,-0.007915366639387245,0.07582397373634059,-0.08338155154423826,-0.10007107356860306,0.025787905909498865,-0.15395471481890421,0.01723436238197812
0.54,25,5,False,15.290747161502505,0.8902609869637066,-0.37381648510489485,0.5265729658504447,4.83001856271546,0.04907174884951055,0.018188285515927327,-0.15700971122412083,8,0.100047524200377,-0.048953244484064656,0.36384423529895044,0.14346593923566778,-0.11006762644578792,0.14554990583474503,0.13961465852014518,0.05393433539811449,-0.08183348848894428,0.2971151572466168,-0.08278310104695624,-0.15700971122412083,0.018188285515927327,-0.005033312600210227,-0.04000332421780178
0.54,25,5,True,16.593172163398535,0.902078784963742,-0.361941887972717,0.5265729658504447,4.83001856271546,0.06154882324588599,0.04487403821659941,-0.15893571188950156,8,0.07196314109730863,-0.01824203859117865,0.413953492089634,0.13070537410220276,-0.11213275765594054,0.14580552120445345,0.14419115716073436,0.06932232848022618,-0.06007733071650595,0.3890871247339877,-0.06428592439882325,-0.15893571188950156,0.04487403821659941,-0.040927123292793244,-0.03206894185211345
0.525,5,all,True,14.507523342723845,0.9488746961795709,-0.3619418879727171,0.5277289435831868,4.977724741447892,0.06131230605260967,0.05025647018558732,-0.13444743483220872,9,0.09899158425631195,-0.02190359825647667,0.20148478189548352,0.1739443041317489,-0.10832500599477989,0.18957939622156983,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13444743483220872,0.05025647018558732,-0.021684288013002373,0.044766965087241484
0.525,5,5,True,14.507523342723845,0.9488746961795709,-0.3619418879727171,0.5277289435831868,4.977724741447892,0.06131230605260967,0.05025647018558732,-0.13444743483220872,9,0.09899158425631195,-0.02190359825647667,0.20148478189548352,0.1739443041317489,-0.10832500599477989,0.18957939622156983,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13444743483220872,0.05025647018558732,-0.021684288013002373,0.044766965087241484
0.58,20,5,True,15.449589608735575,0.7449202881487129,-0.5172412209878006,0.5308385933273219,2.940864492177141,0.03425899968805335,0.01723436238197812,-0.37779903215931765,8,-0.37779903215931765,0.39685290491657554,0.3139090913053533,-0.13624162597841746,-0.049422347605526315,0.30715656055032337,0.1545388159283214,0.1313670929068031,-0.007915366639387245,0.07582397373634059,-0.08338155154423826,-0.10007107356860306,0.025787905909498865,-0.15395471481890421,0.01723436238197812
0.525,10,5,True,14.507523342723845,0.9488746961795709,-0.3619418879727171,0.5277289435831868,4.977724741447892,0.06131230605260967,0.05025647018558732,-0.13444743483220872,9,0.09899158425631195,-0.02190359825647667,0.20148478189548352,0.1739443041317489,-0.10832500599477989,0.18957939622156983,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13444743483220872,0.05025647018558732,-0.021684288013002373,0.044766965087241484
0.54,30,5,False,15.290747161502505,0.8902609869637066,-0.37381648510489485,0.5265729658504447,4.83001856271546,0.04907174884951055,0.018188285515927327,-0.15700971122412083,8,0.100047524200377,-0.048953244484064656,0.36384423529895044,0.14346593923566778,-0.11006762644578792,0.14554990583474503,0.13961465852014518,0.05393433539811449,-0.08183348848894428,0.2971151572466168,-0.08278310104695624,-0.15700971122412083,0.018188285515927327,-0.005033312600210227,-0.04000332421780178
0.54,30,5,True,16.593172163398535,0.902078784963742,-0.361941887972717,0.5265729658504447,4.83001856271546,0.06154882324588599,0.04487403821659941,-0.15893571188950156,8,0.07196314109730863,-0.01824203859117865,0.413953492089634,0.13070537410220276,-0.11213275765594054,0.14580552120445345,0.14419115716073436,0.06932232848022618,-0.06007733071650595,0.3890871247339877,-0.06428592439882325,-0.15893571188950156,0.04487403821659941,-0.040927123292793244,-0.03206894185211345
0.525,15,5,True,14.507523342723845,0.9488746961795709,-0.3619418879727171,0.5277289435831868,4.977724741447892,0.06131230605260967,0.05025647018558732,-0.13444743483220872,9,0.09899158425631195,-0.02190359825647667,0.20148478189548352,0.1739443041317489,-0.10832500599477989,0.18957939622156983,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13444743483220872,0.05025647018558732,-0.021684288013002373,0.044766965087241484
0.58,25,5,True,15.449589608735575,0.7449202881487129,-0.5172412209878006,0.5308385933273219,2.940864492177141,0.03425899968805335,0.01723436238197812,-0.37779903215931765,8,-0.37779903215931765,0.39685290491657554,0.3139090913053533,-0.13624162597841746,-0.049422347605526315,0.30715656055032337,0.1545388159283214,0.1313670929068031,-0.007915366639387245,0.07582397373634059,-0.08338155154423826,-0.10007107356860306,0.025787905909498865,-0.15395471481890421,0.01723436238197812
