
============================================================
QUANTUM ALPHA V1 - BACKTEST
============================================================
Symbols: ['FULL']
Period: 2006-01-01 to 2026-01-01
Capital: $10,000
Strategy: enhanced
============================================================

Core sleeve anchored to quant composite: {'QQQ': 0.5, 'IWM': 0.5}
Collecting price data...
  TKR: 5031 bars
  TLN: 648 bars
  TMHC: 3203 bars
  TMO: 5031 bars
  TMUS: 4707 bars
  TNL: 4895 bars
  TOL: 5031 bars
  TPL: 5031 bars
  TPR: 5031 bars
  TREX: 5031 bars
  TRGP: 3790 bars
  TRMB: 5031 bars
  TROW: 5031 bars
  TRU: 2646 bars
  TRV: 5031 bars
  TSCO: 5031 bars
  TSLA: 3902 bars
  TSN: 5031 bars
  TT: 5031 bars
  TTC: 5031 bars
  TTD: 2333 bars
  TTEK: 5031 bars
  TTMI: 5031 bars
  TTWO: 5031 bars
  TWLO: 2395 bars
  TXN: 5031 bars
  TXNM: 5031 bars
  TXRH: 5031 bars
  TXT: 5031 bars
  TYL: 5031 bars
  UAL: 5008 bars
  UBER: 1671 bars
  UBSI: 5031 bars
  UDR: 5031 bars
  UFPI: 5031 bars
  UGI: 5031 bars
  UHS: 5031 bars
  ULS: 432 bars
  ULTA: 4575 bars
  UMBF: 5031 bars
  UNH: 5031 bars
  UNM: 5031 bars
  UNP: 5031 bars
  UPS: 5031 bars
  URI: 5031 bars
  USB: 5031 bars
  USFD: 2414 bars
  UTHR: 5031 bars
  V: 4476 bars
  VAL: 1173 bars
  VC: 3834 bars
  VFC: 5031 bars
  VICI: 2011 bars
  VLO: 5031 bars
  VLTO: 563 bars
  VLY: 5031 bars
  VMC: 5031 bars
  VMI: 5031 bars
  VNO: 5031 bars
  VNOM: 2903 bars
  VNT: 1324 bars
  VOYA: 3187 bars
  VRSK: 4084 bars
  VRSN: 5031 bars
  VRTX: 5031 bars
  VST: 2323 bars
  VTR: 5031 bars
  VTRS: 5031 bars
  VVV: 2331 bars
  VZ: 5031 bars
  WAB: 5031 bars
  WAL: 5031 bars
  WAT: 5031 bars
  WBD: 5031 bars
  WBS: 5031 bars
  WCC: 5031 bars
  WDAY: 3323 bars
  WDC: 5031 bars
  WEC: 5031 bars
  WELL: 5031 bars
  WEX: 5031 bars
  WFC: 5031 bars
  WFRD: 1255 bars
  WH: 1915 bars
  WHR: 5031 bars
  WING: 2655 bars
  WLK: 5031 bars
  WM: 5031 bars
  WMB: 5031 bars
  WMG: 1403 bars
  WMS: 2877 bars
  WMT: 5031 bars
  WPC: 5031 bars
  WRB: 5031 bars
  WSM: 5031 bars
  WSO: 5031 bars
  WST: 5031 bars
  WTFC: 5031 bars
  WTRG: 5031 bars
  WTS: 5031 bars
  WTW: 5031 bars
  WWD: 5031 bars
  WY: 5031 bars
  WYNN: 5031 bars
  XEL: 5031 bars
  XOM: 5031 bars
  XPO: 5031 bars
  XRAY: 5031 bars
  XYL: 3575 bars
  XYZ: 2543 bars
  YETI: 1805 bars
  YUM: 5031 bars
  ZBH: 5031 bars
  ZBRA: 5031 bars
  ZION: 5031 bars
  ZTS: 3249 bars
  QQQ: 5031 bars
  IWM: 5031 bars
  SPY: 5031 bars
  Computing cross-asset signals...
2026-03-03 11:11:11,113 | WARNING | quantum_alpha.strategy.signals | Insufficient data for cross-asset signals: 45 rows

Running backtest...
2026-03-03 11:59:49,283 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-03-03 11:59:49,336 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-03-03 11:59:49,383 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-03-03 11:59:50,914 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-03-03 11:59:51,454 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-03-03 11:59:51,519 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> warning
2026-03-03 11:59:51,821 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-03-03 11:59:51,893 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-03-03 11:59:52,217 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-03-03 11:59:52,371 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-03-03 11:59:52,692 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-03-03 11:59:53,192 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-03-03 11:59:53,328 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-03-03 11:59:53,386 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> warning
2026-03-03 11:59:53,714 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-03-03 11:59:53,784 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-03-03 12:00:29,775 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-03-03 12:00:29,921 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-03-03 12:00:30,023 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> warning
2026-03-03 12:00:31,913 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-03-03 12:00:32,411 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-03-03 12:00:32,482 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-03-03 12:00:33,250 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-03-03 12:00:33,308 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-03-03 12:00:35,013 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-03-03 12:00:35,170 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-03-03 12:00:35,475 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-03-03 12:00:36,090 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-03-03 12:00:36,402 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-03-03 12:00:39,522 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-03-03 12:00:39,581 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> warning
2026-03-03 12:00:40,833 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-03-03 12:00:44,137 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-03-03 12:00:44,368 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-03-03 12:00:45,993 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> circuit_breaker
2026-03-03 12:00:45,993 | WARNING | quantum_alpha.risk.drawdown_control | CIRCUIT BREAKER TRIGGERED at 2008-09-16 00:00:00-04:00
2026-03-03 12:03:38,426 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: circuit_breaker -> critical
2026-03-03 12:03:38,426 | INFO | quantum_alpha.risk.drawdown_control | Circuit breaker released
2026-03-03 12:03:38,976 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> circuit_breaker
2026-03-03 12:03:38,976 | WARNING | quantum_alpha.risk.drawdown_control | CIRCUIT BREAKER TRIGGERED at 2013-05-23 00:00:00-04:00
2026-03-03 12:03:40,165 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: circuit_breaker -> critical
2026-03-03 12:03:40,165 | INFO | quantum_alpha.risk.drawdown_control | Circuit breaker released
2026-03-03 12:03:40,261 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> circuit_breaker
