candidate,score,signal_threshold,top_k,hold_days,confidence,full_ann_model,full_ann_ew,full_ann_spy,full_ann_quant,full_excess_vs_quant,full_max_drawdown,full_beta_vs_quant,full_information_ratio_vs_quant,constraints_passed,recent_ann_model,recent_ann_ew,recent_ann_spy,recent_ann_quant
53,-100.4602053015428,0.52,15,15,0.03,0.13532159325157833,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.008466443774024057,-0.3090926229165445,-0.07853188883880062,-0.028997354357013564,False,0.14339906796224167,0.17146495497408254,0.15059382158940426,0.150355157213927
124,-100.48033889909624,0.55,15,15,0.0,0.14051057339818018,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0032774636274222058,-0.33207602301810035,-0.07645387754742558,-0.010975495465065049,False,0.1259709971830112,0.17146495497408254,0.15059382158940426,0.150355157213927
125,-100.48033889909624,0.55,15,15,0.03,0.14051057339818018,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0032774636274222058,-0.33207602301810035,-0.07645387754742558,-0.010975495465065049,False,0.1259709971830112,0.17146495497408254,0.15059382158940426,0.150355157213927
126,-100.48033889909624,0.55,15,15,0.05,0.14051057339818018,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0032774636274222058,-0.33207602301810035,-0.07645387754742558,-0.010975495465065049,False,0.1259709971830112,0.17146495497408254,0.15059382158940426,0.150355157213927
60,-100.4969256322238,0.52,20,10,0.05,0.11704328983477885,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.026744747190823537,-0.3315414099699828,-0.06389481452317271,-0.0915552580603949,False,0.16200488086243414,0.17146495497408254,0.15059382158940426,0.150355157213927
69,-100.4969256322238,0.52,25,10,0.05,0.11704328983477885,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.026744747190823537,-0.3315414099699828,-0.06389481452317271,-0.0915552580603949,False,0.16200488086243414,0.17146495497408254,0.15059382158940426,0.150355157213927
24,-100.4969256322238,0.5,20,10,0.05,0.11704328983477885,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.026744747190823537,-0.3315414099699828,-0.06389481452317271,-0.0915552580603949,False,0.16200488086243414,0.17146495497408254,0.15059382158940426,0.150355157213927
33,-100.4969256322238,0.5,25,10,0.05,0.11704328983477885,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.026744747190823537,-0.3315414099699828,-0.06389481452317271,-0.0915552580603949,False,0.16200488086243414,0.17146495497408254,0.15059382158940426,0.150355157213927
135,-100.50804181359337,0.55,20,15,0.05,0.14210390675943585,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0016841302661665392,-0.3455435605073215,-0.07760885543773673,-0.005643333160338901,False,0.11176424953992581,0.17146495497408254,0.15059382158940426,0.150355157213927
133,-100.50804181359337,0.55,20,15,0.0,0.14210390675943585,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0016841302661665392,-0.3455435605073215,-0.07760885543773673,-0.005643333160338901,False,0.11176424953992581,0.17146495497408254,0.15059382158940426,0.150355157213927
143,-100.50804181359337,0.55,25,15,0.03,0.14210390675943585,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0016841302661665392,-0.3455435605073215,-0.07760885543773673,-0.005643333160338901,False,0.11176424953992581,0.17146495497408254,0.15059382158940426,0.150355157213927
144,-100.50804181359337,0.55,25,15,0.05,0.14210390675943585,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0016841302661665392,-0.3455435605073215,-0.07760885543773673,-0.005643333160338901,False,0.11176424953992581,0.17146495497408254,0.15059382158940426,0.150355157213927
142,-100.50804181359337,0.55,25,15,0.0,0.14210390675943585,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0016841302661665392,-0.3455435605073215,-0.07760885543773673,-0.005643333160338901,False,0.11176424953992581,0.17146495497408254,0.15059382158940426,0.150355157213927
134,-100.50804181359337,0.55,20,15,0.03,0.14210390675943585,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0016841302661665392,-0.3455435605073215,-0.07760885543773673,-0.005643333160338901,False,0.11176424953992581,0.17146495497408254,0.15059382158940426,0.150355157213927
113,-100.5226715831858,0.55,10,10,0.03,0.12420709357760873,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01958094344799366,-0.3331956705618834,-0.06258860744387677,-0.06552062621621847,False,0.12433286419448608,0.17146495497408254,0.15059382158940426,0.150355157213927
112,-100.5226715831858,0.55,10,10,0.0,0.12420709357760873,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01958094344799366,-0.3331956705618834,-0.06258860744387677,-0.06552062621621847,False,0.12433286419448608,0.17146495497408254,0.15059382158940426,0.150355157213927
114,-100.5226715831858,0.55,10,10,0.05,0.12420709357760873,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01958094344799366,-0.3331956705618834,-0.06258860744387677,-0.06552062621621847,False,0.12433286419448608,0.17146495497408254,0.15059382158940426,0.150355157213927
71,-100.52977119952433,0.52,25,15,0.03,0.1347363531522543,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.009051683873348093,-0.3225489377552334,-0.08087581664305242,-0.031057660438442797,False,0.12309241002138305,0.17146495497408254,0.15059382158940426,0.150355157213927
62,-100.52977119952433,0.52,20,15,0.03,0.1347363531522543,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.009051683873348093,-0.3225489377552334,-0.08087581664305242,-0.031057660438442797,False,0.12309241002138305,0.17146495497408254,0.15059382158940426,0.150355157213927
70,-100.52977119952433,0.52,25,15,0.0,0.1347363531522543,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.009051683873348093,-0.3225489377552334,-0.08087581664305242,-0.031057660438442797,False,0.12309241002138305,0.17146495497408254,0.15059382158940426,0.150355157213927
61,-100.52977119952433,0.52,20,15,0.0,0.1347363531522543,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.009051683873348093,-0.3225489377552334,-0.08087581664305242,-0.031057660438442797,False,0.12309241002138305,0.17146495497408254,0.15059382158940426,0.150355157213927
45,-100.534812720451,0.52,10,15,0.05,0.13208180999309826,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.011706227032504124,-0.31952396249574033,-0.07275156877950253,-0.03980907176115963,False,0.13084376332678405,0.17146495497408254,0.15059382158940426,0.150355157213927
9,-100.534812720451,0.5,10,15,0.05,0.13208180999309826,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.011706227032504124,-0.31952396249574033,-0.07275156877950253,-0.03980907176115963,False,0.13084376332678405,0.17146495497408254,0.15059382158940426,0.150355157213927
122,-100.54090405559275,0.55,15,10,0.03,0.1256963333556136,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0180917036699888,-0.31998989602944117,-0.06283462743880006,-0.06091015428517565,False,0.12370003130631435,0.17146495497408254,0.15059382158940426,0.150355157213927
121,-100.54090405559275,0.55,15,10,0.0,0.1256963333556136,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0180917036699888,-0.31998989602944117,-0.06283462743880006,-0.06091015428517565,False,0.12370003130631435,0.17146495497408254,0.15059382158940426,0.150355157213927
